City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
139,Georgetown,MY,5.41,100.34,87.8,70,20,2.24,few clouds,0.0,0.0
140,Tiksi,RU,71.69,128.87,53.26,59,0,4.94,clear sky,0.0,0.0
141,Port Blair,IN,11.67,92.75,85.91,70,86,7.47,overcast clouds,0.0,0.0
142,Mar Del Plata,AR,-38.0,-57.56,50.0,100,90,3.36,moderate rain,1.52,0.0
143,Hambantota,LK,6.12,81.12,87.8,70,90,9.17,overcast clouds,0.0,0.0
144,Almaznyy,RU,48.04,40.05,75.2,69,69,8.95,broken clouds,0.0,0.0
145,Yellowknife,CA,62.46,-114.35,57.2,47,75,6.93,broken clouds,0.0,0.0
146,Kyra,RU,49.58,111.98,66.88,66,72,6.31,light rain,0.44,0.0
147,Arrifes,PT,37.77,-25.7,66.2,93,75,11.41,broken clouds,0.0,0.0
148,Hasaki,JP,35.73,140.83,79.0,78,75,1.12,broken clouds,0.0,0.0
149,Bengkulu,ID,-3.8,102.27,78.91,85,95,9.06,light rain,0.98,0.0
150,Puerto Leguizamo,CO,-0.19,-74.78,70.29,98,86,1.1,overcast clouds,0.0,0.0
151,Hami,CN,42.8,93.45,83.25,13,0,3.65,clear sky,0.0,0.0
152,Anqiu,CN,36.43,119.19,68.43,93,100,11.88,light rain,0.95,0.0
153,Lively,CA,46.43,-81.15,64.4,88,75,5.82,broken clouds,0.0,0.0
154,Jiazi,CN,22.88,116.07,87.76,72,100,18.05,overcast clouds,0.0,0.0
155,Havre-Saint-Pierre,CA,50.23,-63.6,53.6,100,90,2.24,fog,0.0,0.0
156,Siocon,PH,7.71,122.14,87.21,67,54,3.83,light rain,0.79,0.0
157,San Lorenzo,PY,-25.33,-57.53,77.0,65,47,6.93,scattered clouds,0.0,0.0
158,Paracuru,BR,-3.41,-39.03,78.01,78,94,1.01,moderate rain,1.84,0.0
