City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
349,Lewisburg,US,71.6,overcast clouds,35.45,-86.79,Celebration Inn
351,Urucara,BR,72.73,scattered clouds,-2.54,-57.76,Pousada Maria Bonita
352,Amga,RU,78.67,few clouds,60.9,131.96,Algys
354,Tautira,PF,77.0,few clouds,-17.73,-149.15,Pension Oaoa
355,Tadine,NC,70.88,overcast clouds,-21.55,167.88,
356,Kalmunai,LK,87.91,overcast clouds,7.42,81.82,VS Villa
357,Saint-Pierre,RE,75.2,few clouds,-21.34,55.48,Lindsey Hôtel
358,Sao Jose Da Coroa Grande,BR,75.96,scattered clouds,-8.9,-35.15,Crôa Mares Hotel
365,Vao,NC,72.28,scattered clouds,-22.67,167.48,Hotel Kou-Bugny
367,Meulaboh,ID,77.11,overcast clouds,4.14,96.13,Kost Pria
370,Seymchan,RU,82.63,scattered clouds,62.88,152.43,
371,Price,US,71.6,clear sky,39.6,-110.81,National 9 - Price River Inn
372,Siderno,IT,73.99,few clouds,38.28,16.3,Grand Hotel President
375,Tsaratanana,MG,70.52,clear sky,-16.78,47.65,
379,Mantua,IT,72.0,clear sky,45.17,10.78,Hotel la Favorita
381,Gat,IL,73.99,clear sky,31.61,34.76,רגע בנחת
384,Flagstaff,US,75.0,clear sky,35.2,-111.65,Drury Inn & Suites Flagstaff
385,Makakilo City,US,82.4,broken clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
386,San Patricio,MX,81.01,scattered clouds,19.22,-104.7,Hotel Cabo Blanco
392,Kodinsk,RU,89.51,clear sky,58.69,99.18,
393,Broome,US,71.6,clear sky,42.25,-75.83,Chenango Valley State Park
395,Grand Gaube,MU,75.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
398,Russell,US,73.4,few clouds,32.35,-85.2,Macs
399,Petatlan,MX,80.28,overcast clouds,17.52,-101.27,Hotel California Petatlán
401,Shingu,JP,84.2,few clouds,33.73,135.98,Shingu UI Hotel
404,Galdar,ES,71.6,broken clouds,28.15,-15.65,Hostel Guide
407,Dingle,PH,89.94,few clouds,11.0,122.67,Camp Pasica
411,Bongandanga,CD,70.88,few clouds,1.5,21.05,
413,Wau,SS,73.56,broken clouds,7.7,28.0,Universal Gab Hotel
414,Luanda,AO,71.6,broken clouds,-8.84,13.23,EPIC SANA Luanda
415,Cayenne,GF,73.4,broken clouds,4.93,-52.33,Hôtel Le Dronmi
416,Zaysan,KZ,78.67,clear sky,47.47,84.87,Gostinitsa Aray
417,Antalaha,MG,74.03,few clouds,-14.9,50.28,Hotel Vitasoa
418,Santa Isabel Do Rio Negro,BR,72.12,scattered clouds,-0.41,-65.02,Hotel GSA
421,Kuching,MY,87.8,scattered clouds,1.55,110.33,Hilton Kuching
424,Sarkand,KZ,86.95,broken clouds,45.41,79.92,Гостиница Сарканд
425,Havelock,US,80.01,clear sky,34.88,-76.9,Sherwood Motel
426,Mogadishu,SO,80.92,broken clouds,2.04,45.34,Hotel Juba
427,Karratha,AU,82.35,clear sky,-20.74,116.85,ibis Styles Karratha
431,Tukrah,LY,70.61,few clouds,32.53,20.58,استراحة لاقروتا
432,Ciudad Bolivar,VE,78.12,few clouds,8.12,-63.55,Hotel Edi
433,Kondagaon,IN,84.7,scattered clouds,19.6,81.67,AYAN MOTER
435,Danjiangkou,CN,84.0,few clouds,32.54,111.51,Dongsheng Guesthouse
436,Fengxian,CN,71.29,overcast clouds,34.7,116.59,Tongrenju Hotel
438,Ayagoz,KZ,77.23,overcast clouds,47.97,80.44,Gostinitsa Nur
